invc_code,dispatch_revenue,ar_total,difference
1483103,5493.76,6017.37,-523.61
1483104,6372.39,6983.96,-611.57
1483105,11521.02,12638.67,-1117.65
1483106,6744.01,7404.64,-660.63
1483107,3450.00,4012.37,-562.37
1483108,1026.00,1132.33,-106.33
1483109,2793.75,3058.37,-264.62
1483110,27.50,29.15,-1.65
1483111,41.25,43.73,-2.48
1483112,200.00,212.00,-12.00
1483113,22.00,23.32,-1.32
1483114,467.50,495.55,-28.05
1483115,1903.00,2200.44,-297.44
1483116,3543.50,3818.98,-275.48
1483117,910.00,1057.45,-147.45
1483118,706.00,796.37,-90.37
1483119,358.00,508.05,-150.05
1483120,1328.00,1486.33,-158.33
1483121,1629.25,1758.44,-129.19
1483122,1080.00,1205.85,-125.85
1483123,368.00,505.93,-137.93
1483124,255.75,397.55,-141.80
1483125,4075.50,5109.15,-1033.65
1483126,725.00,852.55,-127.55
1483127,2940.00,3704.37,-764.37
1483128,1184.00,1435.45,-251.45
1483129,3429.50,3818.97,-389.47
1483130,3130.00,4338.34,-1208.34
1483131,531.25,702.83,-171.58
1483132,211.50,360.18,-148.68
1483133,370.00,495.33,-125.33
1483134,984.50,1135.20,-150.70
1483135,1151.50,1290.44,-138.94
1483136,740.25,851.60,-111.35
1483137,182.50,343.22,-160.72
1483138,1371.75,1571.58,-199.83
1483139,14726.25,15522.75,-796.50
1483140,3002.00,3244.98,-242.98
1483141,4601.50,5634.43,-1032.93
1483142,2557.00,3096.26,-539.26
1483143,4392.00,5377.12,-985.12
1483144,7987.88,8617.61,-629.73
1483145,4809.75,5261.58,-451.83
1483146,540.00,667.05,-127.05
1483147,2160.00,2430.78,-270.78
1483148,2073.50,2411.49,-337.99
1483149,5183.00,5616.04,-433.04
1483150,4788.00,5615.09,-827.09
1483151,318.00,449.71,-131.71
1483152,5513.00,6270.96,-757.96
1483153,6615.00,7255.97,-640.97
1483154,990.00,1128.11,-138.11
1483155,5254.50,5933.35,-678.85
1483156,632.00,740.15,-108.15
1483157,456.25,620.07,-163.82
1483158,7583.63,8483.05,-899.42
1483159,1615.75,1778.95,-163.20
1483160,4004.25,4391.58,-387.33
1483161,9923.13,10877.86,-954.73
1483162,1950.75,2142.53,-191.78
1483163,9799.89,10855.03,-1055.14
1483164,4175.25,4615.98,-440.73
1483165,491.75,592.54,-100.79
1483166,2931.50,3420.89,-489.39
1483167,2322.75,2736.39,-413.64
1483168,1368.00,1499.11,-131.11
1483169,4608.00,5055.14,-447.14
1483170,1662.50,1899.52,-237.02
1483171,2216.50,2432.70,-216.20
1483172,4115.75,4507.65,-391.90
1483173,52.00,55.12,-3.12
1483174,55.00,58.30,-3.30
1483175,120.00,127.20,-7.20
1483176,2021.50,2215.40,-193.90
1483177,693.75,820.28,-126.53
1483178,1814.50,1954.80,-140.30
1483179,358.00,508.05,-150.05
1483180,210.63,325.02,-114.39
1483181,351.00,475.19,-124.19
1483182,357.00,494.27,-137.27
1483183,3154.00,3526.94,-372.94
1483184,11513.00,12403.05,-890.05
1483185,1665.00,1833.27,-168.27
1483186,4075.50,5109.15,-1033.65
1483187,760.00,857.85,-97.85
1483188,1377.50,1491.58,-114.08
1483189,1450.00,1705.10,-255.10
1483190,1911.00,2180.95,-269.95
1483191,857.50,929.40,-71.90
1483192,1327.50,1599.55,-272.05
1483193,1588.50,1714.02,-125.52
1483194,3040.00,3466.52,-426.52
1483195,870.00,963.85,-93.85
1483196,7052.00,7621.29,-569.29
1483197,26279.50,29701.52,-3422.02
1483198,5870.00,8672.48,-2802.48
1483199,2331.00,2699.60,-368.60
1483200,3458.00,3763.54,-305.54
1483201,3182.00,3723.61,-541.61
1483202,822.50,924.10,-101.60
1483203,493.50,600.48,-106.98
1483204,1482.00,1602.35,-120.35
1483205,357.00,481.55,-124.55
1483206,10363.14,11356.99,-993.85
1483207,3002.00,3244.98,-242.98
1483208,3847.50,4054.50,-207.00
1483209,4899.50,5948.46,-1048.96
1483210,1358.50,1609.88,-251.38
1483211,1144.00,1357.07,-213.07
1483212,10518.75,12526.02,-2007.27
1483213,1400.00,1577.55,-177.55
1483214,1440.00,1728.74,-288.74
1483215,3401.00,3667.92,-266.92
1483216,751.50,853.04,-101.54
1483217,765.00,854.63,-89.63
1483218,3391.50,3693.04,-301.54
1483219,510.00,625.67,-115.67
1483220,532.50,655.64,-123.14
1483221,8493.00,9901.99,-1408.99
1483222,17185.00,19240.59,-2055.59
1483223,492.00,608.25,-116.25
1483224,1738.00,2866.00,-1128.00
1483225,4068.00,4516.40,-448.40
1483226,12008.00,16512.95,-4504.95
1483227,1467.75,1691.14,-223.39
1483228,1078.00,1312.09,-234.09
1483229,5002.00,5692.73,-690.73
1483230,2460.00,2800.00,-340.00
1483231,3934.01,4315.01,-381.00
1483232,8200.38,8985.49,-785.11
1483233,4468.25,4946.88,-478.63
1483234,2295.00,2531.08,-236.08
1483235,1222.50,1336.40,-113.90
1483236,3300.00,3600.29,-300.29
1483237,1425.00,1696.22,-271.22
1483238,2256.00,2798.93,-542.93
1483239,1573.00,1801.47,-228.47
1483240,499.50,643.16,-143.66
1483241,815.00,930.95,-115.95
1483242,5710.50,6237.57,-527.07
1483243,855.00,945.08,-90.08
1483244,3038.75,3337.41,-298.66
1483245,5511.50,6037.23,-525.73
1483246,6534.00,7156.33,-622.33
1483247,1724.25,1859.14,-134.89
1483248,907.50,982.40,-74.90
1483249,3538.75,3813.94,-275.19
1483250,1062.00,1198.07,-136.07
1483251,2388.50,2549.30,-160.80
1483252,2739.00,3065.04,-326.04
1483253,3608.00,4182.75,-574.75
1483254,984.00,1065.93,-81.93
1483255,2331.00,2725.79,-394.79
1483256,2331.00,2725.79,-394.79
1483257,2970.00,4169.93,-1199.93
1483258,1292.00,1334.25,-42.25
1483259,16928.00,18381.87,-1453.87
1483260,5510.00,6208.00,-698.00
1483261,652.50,729.96,-77.46
1483262,830.50,982.36,-151.86
1483263,620.00,768.81,-148.81
1483264,882.00,957.81,-75.81
1483265,882.50,955.90,-73.40
1483266,1357.50,1529.10,-171.60
1483267,6187.50,6909.18,-721.68
1483268,3074.50,3336.18,-261.68
1483269,495.00,622.53,-127.53
1483270,2752.50,2970.75,-218.25
1483271,540.00,695.63,-155.63
1483272,1757.50,1911.98,-154.48
1483273,283.50,426.75,-143.25
1483274,358.00,495.33,-137.33
1483275,149.00,264.99,-115.99
1483276,499.50,652.70,-153.20
1483277,1480.50,1637.70,-157.20
1483278,3969.13,4353.29,-384.16
1483279,8753.38,9593.14,-839.76
1483280,1334.75,1463.86,-129.11
1483281,2962.50,3237.24,-274.74
1483282,2528.00,2735.22,-207.22
1483283,867.50,1008.90,-141.40
1483284,1358.50,1609.88,-251.38
1483285,1001.00,1188.53,-187.53
1483286,2002.00,2198.97,-196.97
1483287,4105.50,4432.71,-327.21
1483288,1620.00,1842.90,-222.90
1483289,3401.00,3667.92,-266.92
1483290,682.00,770.93,-88.93
1483291,1695.75,1875.00,-179.25
1483292,1700.50,1700.50,0.00
1483293,733.50,841.74,-108.24
1483294,3905.00,4231.15,-326.15
1483295,800.00,848.00,-48.00
1483296,169.00,179.14,-10.14
1483297,82.50,87.45,-4.95
1483298,16501.50,17912.25,-1410.75
1483299,2985.00,3245.19,-260.19
1483300,39985.76,45063.01,-5077.25
1483301,2775.00,3133.90,-358.90
1483302,1197.00,1307.25,-110.25
1483303,612.50,791.03,-178.53
1483304,9310.00,10423.25,-1113.25
1483305,8728.50,10234.57,-1506.07
1483306,918.00,1083.59,-165.59
1483307,2073.50,2276.88,-203.38
1483308,2970.00,3384.32,-414.32
1483309,9912.00,10913.75,-1001.75
1483310,932.25,1055.23,-122.98
1483311,5056.00,6717.22,-1661.22
1483312,1264.00,1484.27,-220.27
1483313,1733.75,1904.60,-170.85
1483314,4920.00,5600.00,-680.00
1483315,485.00,612.95,-127.95
1483316,7938.26,8706.59,-768.33
1483317,2634.38,2889.43,-255.05
1483318,4156.25,4552.70,-396.45
1483319,1172.00,1284.99,-112.99
1483320,3936.00,4300.16,-364.16
1483321,5586.00,6418.93,-832.93
1483322,2309.50,2531.28,-221.78
1483323,2011.50,2206.92,-195.42
1483324,1292.00,1334.25,-42.25
1483325,1277.50,1409.16,-131.66
1483326,1284.00,1403.01,-119.01
1483327,1200.00,1416.43,-216.43
1483328,10094.76,12033.93,-1939.17
1483329,3003.00,3565.58,-562.58
1483330,751.50,853.04,-101.54
1483331,6475.00,7055.36,-580.36
1483332,771.75,845.88,-74.13
1483333,2764.50,3028.42,-263.92
1483334,4588.50,5373.41,-784.91
1483335,2475.00,2815.89,-340.89
1483336,6568.39,7272.40,-704.01
1483337,936.00,1077.23,-141.23
1483338,220.00,233.20,-13.20
1483366,99.00,99.00,0.00
1483367,316.50,316.50,0.00
1483368,484.50,484.50,0.00
1483484,1331.00,1410.86,-79.86
1483545,612.50,612.50,0.00
1483546,1437.50,1437.50,0.00
1483547,3300.00,3300.00,0.00
1483548,475.00,475.00,0.00
