order_date,order_code,tkt_code,tkt_chrg_intrnl_line_num,tkt_chrg_code,sundry_chrg_table_id,unld_chrg_table_id,prod_code,prod_descr,short_prod_descr,prod_cat,price,cstmry_price,metric_price,price_uom,cstmry_price_uom,metric_price_uom,price_derived_from_code,price_ext_code,taxble_code,non_tax_rsn_code,delv_qty,cstmry_delv_qty,metric_delv_qty,delv_qty_uom,cstmry_delv_qty_uom,metric_delv_qty_uom,ext_price_amt,price_qty,cstmry_price_qty,metric_price_qty,cost,cost_uom,cstmry_cost,metric_cost,cost_ext_code,ext_matl_cost_amt,moved_order_date,moved_to_order_code,moved_from_order_code,delv_price_flag,comb_meth_code,usage_code,order_intrnl_line_num,invc_round_diff_amt,update_date,u_version
"2021-01-04 00:00:00","           8","  102794",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:53:10","!"
"2021-01-04 00:00:00","           8","  102795",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:57:02","!"
"2021-01-04 00:00:00","           8","  102797",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:20:30","!"
"2021-01-04 00:00:00","           8","  102798",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:24:48","!"
"2021-01-04 00:00:00","           8","  102799",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 08:45:00","!"
"2021-01-04 00:00:00","           9","  102805",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),9.50,9.50,9.50,"80001","80001","80001",28.50,9.50,9.50,9.50,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 10:21:10","!"
"2021-01-04 00:00:00","           9","  102812",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),7.00,7.00,7.00,"80001","80001","80001",21.00,7.00,7.00,7.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 11:42:24","!"
"2021-01-04 00:00:00","          11","  102810",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85","1",1,(null),7.00,7.00,7.00,"80001","80001","80001",21.00,7.00,7.00,7.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 11:08:01","!"
"2021-01-04 00:00:00","          12","  353148",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 06:55:25","!"
"2021-01-04 00:00:00","          12","  353150",1,"07","  2",(null),"           2","WINTER SERVICE CHARGE                   ","WSC             ","    32",3.00,3.00,3.00,"80001","80001","80001","85",(null),1,(null),9.00,9.00,9.00,"80001","80001","80001",27.00,9.00,9.00,9.00,(null),(null),(null),(null),(null),0.00,(null),(null),(null),false,(null),(null),(null),(null),"2021-01-04 07:10:12","!"
