uom,descr,short_descr,abbr,uom_type,predef_flag,accum_flag,imperial_flag,system_conv_uom,iso_code,update_date,u_version
"40012","Cubic Centimeters                       ","cu cm's ","c3",4,true,true,false,"40001",(null),(null),"!"
"40013","Cubic Meters                            ","cu meter","M3",4,false,true,false,"40003",(null),"2001-07-03 12:40:31","!"
"50001","Ounces                                  ","ounces  ","oz",5,true,true,true,"50012",(null),(null),"!"
"50002","Pints                                   ","pints   ","pt",5,true,true,true,"50011",(null),(null),"!"
"50003","Quarts                                  ","quarts  ","qt",5,true,true,true,"50011",(null),(null),"!"
"50004","Gallons                                 ","gallons ","ga",5,true,true,true,"50011",(null),(null),"!"
"50011","Liters                                  ","liters  ","li",5,true,true,false,"50004",(null),(null),"!"
"50012","Milliliters                             ","mlliter ","ml",5,true,true,false,"50001",(null),(null),"!"
"54004","Gallons                                 ","gallons ","ga",5,true,true,true,"50011",(null),"2004-12-07 15:29:14","!"
"60001","Ounces                                  ","ounces  ","oz",6,true,true,true,"60011",(null),(null),"!"
"60002","Pounds                                  ","pounds  ","lb",6,true,true,true,"60012",(null),(null),"!"
"60003","Tons                                    ","Tons    ","tn",6,true,true,true,"60013",(null),(null),"!"
"60011","Grams                                   ","grams   ","gm",6,true,true,false,"60001",(null),(null),"!"
"60012","Kilograms                               ","kilogram","kg",6,true,true,false,"60002",(null),(null),"!"
"60013","Metric tons                             ","m_tonnes","to",6,true,true,false,"60003",(null),(null),"!"
"60112","test                                    ","t       ","T ",(null),false,false,true,"60012",(null),"2004-10-19 13:27:07","!"
"70001","Pounds per square inch                  ","psi     ","ps",7,true,false,true,"70011",(null),(null),"!"
"70011","Megapascals MPa                         ","MPa     ","MP",7,true,false,false,"70001",(null),(null),"!"
"70012","Newtons per square millimeter           ","N/mm2   ","NW",7,true,false,false,"70001",(null),(null),"!"
"80001","Each                                    ","each    ","ea",8,true,true,true,"80001",(null),(null),"!"
"80002","Per Load                                ","per load","/l",8,true,false,false,"80002",(null),(null),"!"
"80003","Per Qty                                 ","per qty ","/Q",8,true,false,false,(null),(null),(null),"!"
"80004","Per Hour                                ","per hour","/h",8,true,false,true,"80004",(null),(null),"!"
"80005","Per Cubic Yard                          ","per c/yd","/y",8,true,false,true,"80006",(null),"2001-02-01 10:26:51","!"
"80006","Per Cubic Meter                         ","per m3  ","/m",8,true,false,false,"80005",(null),"2001-02-01 10:29:55","!"
"80007","per Minute                              ","per Min ","/M",8,true,false,true,"80007",(null),(null),"!"
"80012","Block Equivalent Units                  ","BlckEqUn","EU",8,true,true,true,"80012",(null),(null),"!"
"80013","Per Meter                               ","per mt  ","/m",8,true,false,false,"80003",(null),(null),"!"
"8EQU ","8""  Equivalent Block                    ","8"" Equiv","8""",8,false,false,true,"80001",(null),(null),"!"
"90001","Dosage                                  ","Dosage  ","ds",8,true,false,false,"90001",(null),(null),"!"
"90002","Percent                                 ","Percent ","% ",8,true,false,false,"90001",(null),"1999-12-15 13:11:26","!"
"90003","Per 100 weight                          ","Per cwt ","/C",8,true,false,false,"90003",(null),"2003-06-19 14:13:22","!"
"90004","Hours                                   ","Hours   ","HR",8,true,false,false,"80001",(null),"2008-03-05 12:19:00","!"
"90005","Flat Rate                               ","Flat Rat","FR",8,true,false,false,"80001",(null),"2008-03-05 12:28:56","!"
"BLOCK","1000 block                              ","1000 bl ","1K",8,false,false,false,"BLOCK",(null),"2006-07-05 09:25:56","!"
"CY   ","Cubic Yards                             ","C Yds   ","CY",4,false,false,true,"40013",(null),(null),"!"
"CYARD","CYARD                                   ","CYARD   ","CY",4,true,true,true,"40013",(null),"2004-10-12 15:44:49","!"
"M3   ","M3                                      ","M3      ","M3",4,false,false,true,"M3   ",(null),(null),"!"
"M8   ","Solar Yard                              ","SYARD   ","SY",4,false,false,true,"40003",(null),(null),"!"
"TON1 ","ton1                                    ",(null),(null),(null),false,false,true,(null),(null),(null),"!"
"TONS ","TONS                                    ","TONS    ","TS",6,true,true,true,"60013",(null),"2004-10-19 14:52:22","!"
